# sresa2_ncar-pcm1_2_Prcp,,,,,,,,,,,,,,
,Arizona/New Mexico Mountains,Arizona/New Mexico Plateau,Central Basin and Range,Chihuahuan Deserts,Colorado Plateaus,High Plains,Mojave Basin and Range,Northern Basin and Range,Northwestern Great Plains,Sonoran Basin and Range,Southern Rockies,Southwestern Tablelands,Wasatch and Uinta Mountains,Wyoming Basin
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
1956-07-15T00:00:00Z,1.9340289,1.38098,0.8755551,3.3555593,0.899947,2.1585963,0.78516126,1.1067497,1.2572973,0.6020708,2.3878822,2.9944954,1.0778928,1.4830244
1956-08-15T00:00:00Z,1.5655236,1.2233175,0.25957996,2.7931488,0.3291378,1.2429171,0.32187992,0.27735007,0.70772326,0.7803876,1.4943821,2.9182122,0.23485835,0.43397632
1956-09-15T00:00:00Z,0.9576135,0.7172271,0.19133447,1.7384,0.44664708,1.3470947,0.07615526,0.4239325,0.77815527,0.064307235,1.304556,1.5782381,0.39955285,0.64669037
1956-10-15T00:00:00Z,0.34832066,0.30511442,0.7140452,0.21633835,0.6856096,0.60825545,0.30110127,1.4258293,0.6800974,0.21282196,1.0419142,0.20395416,1.2152172,1.1177161
1956-11-15T00:00:00Z,1.0746686,0.8865836,2.5830631,0.37316146,1.6221327,0.8977844,1.2085071,1.735582,1.3809783,0.8167747,2.6267092,0.57731503,3.3228052,2.2610197
1956-12-15T00:00:00Z,0.4329459,0.29292095,0.6295635,0.40929204,0.4405137,0.37561408,0.33223715,1.4634717,0.7028172,0.24075712,1.1221845,0.3856292,1.2354475,0.89994454
1957-01-16T00:00:00Z,1.1932204,0.8382113,2.8440413,0.28867263,1.6530715,0.4625372,2.2013571,2.0674875,0.79605454,1.3675507,2.315331,0.26069793,3.4998841,1.8870428
1957-02-16T00:00:00Z,0.7979978,0.5544723,1.7127732,0.37486964,0.55370367,0.25048774,1.1334195,1.8154888,0.936205,1.2433912,0.6644727,0.24803534,1.7284994,0.8928921
1957-03-15T00:00:00Z,2.3375356,1.6102914,4.390293,0.66973007,1.7880892,0.8187098,3.6430771,2.4866183,1.2058885,4.058323,2.5521045,0.67295307,3.7612054,2.151579
1957-04-15T00:00:00Z,1.1047548,0.8431823,1.3756355,1.0014318,0.9451117,1.7244399,0.7328324,1.3070363,1.3362058,0.6320994,2.83258,2.0125437,2.0300338,1.9207673
1957-05-15T00:00:00Z,0.9261995,0.79880583,1.8229859,0.7048779,1.6664642,3.6013749,0.8131513,2.670532,2.7803528,0.46808493,2.9465923,1.027978,3.0630112,3.2593193
1957-06-15T00:00:00Z,0.3885241,0.32938012,0.93028796,0.62959534,0.6572952,1.882951,0.43352574,2.9018717,1.9698579,0.39832592,1.2929004,1.4266226,2.162209,2.19769
1957-07-15T00:00:00Z,1.7848693,1.2903851,1.5133866,2.2850273,1.0808765,1.7606763,1.383454,1.3573867,0.9803135,1.600931,2.037248,2.6680374,1.76088,1.7580447
1957-08-15T00:00:00Z,1.7513806,1.408586,1.2836479,1.4411547,0.82681024,0.50342953,1.3174078,1.0104104,0.23147796,2.197481,0.92186666,1.4654535,1.040539,0.5697774
1957-09-15T00:00:00Z,0.8041356,0.69956905,1.5770607,0.16057321,1.0775853,0.83191144,1.3211346,2.3499408,0.92300373,1.0413616,1.0270667,0.16118094,1.644129,1.1667987
1957-10-15T00:00:00Z,1.5206231,1.3031248,1.959274,0.70015216,1.4071519,0.9637273,1.4105396,1.389117,1.4660373,1.8025447,1.5236206,0.53623044,2.1595101,1.6315858
1957-11-15T00:00:00Z,0.43352798,0.35845637,0.6167652,0.061357334,0.5679378,0.55796677,0.33011672,0.31203082,1.133528,0.43675599,1.2717098,0.08925668,0.72317535,0.7394906
1957-12-15T00:00:00Z,2.265258,1.6850348,3.074085,0.39351925,1.8887565,0.77474976,2.547222,1.9410195,0.9157133,3.4358857,3.1362212,0.32296783,3.830466,2.2311726
1958-01-16T00:00:00Z,2.2780046,1.4687146,3.1195583,0.40525034,1.9154311,0.29533494,2.8956988,3.2920892,0.7538252,4.8058634,1.943878,0.39175895,4.3168187,2.0525463
1958-02-16T00:00:00Z,2.158731,1.5479817,4.882022,0.46121576,1.980624,0.73037606,3.586441,2.9506679,1.527501,3.9063919,2.5117688,0.38612542,4.6265984,2.4865708
1958-03-15T00:00:00Z,0.865658,0.6349381,0.90744495,0.57418615,0.42041838,0.46199542,0.5349872,1.3809155,0.8468178,0.5795584,1.4833907,0.9406041,1.0846062,0.7742622
1958-04-15T00:00:00Z,0.24476424,0.21975638,0.41866383,0.08031983,0.49531358,1.5184373,0.13543841,1.1804751,1.9157177,0.116045944,1.7025269,0.15643393,1.1269943,1.558508
1958-05-15T00:00:00Z,0.7460571,0.72875166,2.5214615,0.16208111,1.5336618,4.539171,1.2111561,4.5545526,3.4701817,0.6296552,2.890912,0.5950967,3.8254378,3.689692
1958-06-15T00:00:00Z,0.3496938,0.30369774,0.80323595,0.5967286,0.5815313,3.1537554,0.2884445,2.9664192,2.4593744,0.12363975,1.5234793,1.3679478,1.9444243,2.331335
1958-07-15T00:00:00Z,2.7974732,2.0730374,1.4828705,2.701677,1.650933,0.77933174,1.053447,1.442372,0.3818081,1.2537733,2.0750062,2.557414,2.2425885,1.7681624
