# sresa2_miroc3-2-medres_1_Prcp,,,,,,,,,,,,,,
,Arizona/New Mexico Mountains,Arizona/New Mexico Plateau,Central Basin and Range,Chihuahuan Deserts,Colorado Plateaus,High Plains,Mojave Basin and Range,Northern Basin and Range,Northwestern Great Plains,Sonoran Basin and Range,Southern Rockies,Southwestern Tablelands,Wasatch and Uinta Mountains,Wyoming Basin
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
1959-05-15T00:00:00Z,0.49652374,0.47083652,1.2228897,0.27388376,0.643027,3.029066,0.7855165,1.6797595,2.236755,0.49655446,2.3054652,0.88530385,1.3717788,1.6723832
1959-06-15T00:00:00Z,0.12854797,0.10918568,0.31537428,0.271754,0.30788925,2.4085932,0.123099074,1.4642814,2.4241376,0.05586258,0.928071,0.6597658,0.88794565,1.393292
1959-07-15T00:00:00Z,1.2134626,0.8947994,0.6776775,1.6475991,0.74409336,2.0072496,0.5567963,0.9833455,1.1627754,0.6171812,2.1897783,2.2278368,0.94503075,1.3288063
1959-08-15T00:00:00Z,1.2320193,0.99618876,0.76709014,1.3302085,0.53800595,1.0685933,0.6696423,0.5930723,0.61130184,1.0112706,1.2025784,1.1969845,0.6685527,0.6238059
1959-09-15T00:00:00Z,0.5566901,0.45539144,0.6398474,0.79968214,0.7397787,0.7734,0.30643767,1.6390344,0.9123037,0.032241087,1.3517789,1.4381374,1.1947522,1.1033227
1959-10-15T00:00:00Z,0.015804784,0.014525608,0.48093817,0.01509382,0.2765299,0.13584438,0.0653626,2.2972417,0.3141172,0.017683452,0.14836626,0.00415714,1.440738,1.0788724
1959-11-15T00:00:00Z,0.25436163,0.21844155,0.4400954,0.11927219,0.41627455,0.48442245,0.16343914,0.6155195,0.65531194,0.12038797,1.0664221,0.11131686,0.8340544,0.89271307
1959-12-15T00:00:00Z,0.7971122,0.5822155,0.8775442,0.3864986,0.65288574,0.4350427,0.56938565,2.081005,0.4875808,0.836471,1.6860971,0.5501199,1.7010752,1.194593
1960-01-16T00:00:00Z,0.35002685,0.25774622,0.8403033,0.08382556,0.45081857,0.14785159,0.50461304,2.0539513,0.3798506,0.3709087,0.71201116,0.09708888,1.5747757,0.8745256
1960-02-16T00:00:00Z,0.796135,0.5784468,1.1988287,0.4621101,0.765832,0.6488782,0.67770916,1.9930866,1.3907409,0.95790434,2.0250633,0.47587603,1.938042,1.5647372
1960-03-15T00:00:00Z,0.5279102,0.39926967,1.4306759,0.23190802,0.66479903,0.9514261,0.88556343,1.1045827,1.3223696,0.6189271,1.7533084,0.36572906,1.6664474,1.4813871
1960-04-15T00:00:00Z,0.32763386,0.29822102,0.49585858,0.32982612,0.5816185,2.0420444,0.20098013,2.0436692,2.792358,0.18453674,2.5820484,0.7620662,1.3161007,2.0164444
1960-05-15T00:00:00Z,0.07007218,0.12111856,0.58603185,0.00946174,0.58630174,2.8276477,0.16343117,1.7256844,1.1414651,0.024315557,1.9256247,0.121670075,1.492317,2.2033448
